Data,Refrigerante,Água,Picolé,Sorvete,Max/Min Temp,Vel Max Vento,% de nuvens
01/08/2023,4,8,2,3,31/26,9.8,57
02/08/2023,6,3,3,4,31/25,9.8,46
03/08/2023,5,5,3,3,30/25,8.2,58
04/08/2023,5,7,5,1,30/25,7.7,40
05/08/2023,16,31,12,16,31/26,10.3,48
06/08/2023,24,33,21,18,30/26,10.3,51
07/08/2023,2,6,4,4,31/26,9.8,52
08/08/2023,6,8,2,2,31/25,10.8,50
09/08/2023,6,4,4,5,31/24,10.3,45
10/08/2023,8,8,5,3,33/25,6.7,47
11/08/2023,5,7,5,5,30/25,7.7,43
12/08/2023,13,27,11,15,30/24,9.3,49
13/08/2023,16,27,14,12,31/26,8.2,52
14/08/2023,6,4,3,4,32/26,8.8,52
15/08/2023,3,7,0,2,32/24,8.8,45
16/08/2023,6,8,9,4,31/25,8.8,40
17/08/2023,7,7,5,3,31/24,11.8,32
18/08/2023,6,5,6,3,30/25,8.8,51
19/08/2023,6,12,4,6,28/25,9.3,70
20/08/2023,11,35,12,12,31/24,8.2,49
21/08/2023,3,6,2,2,30/25,11.3,61
22/08/2023,2,6,4,2,30/26,9.8,62
23/08/2023,2,5,3,3,31/25,9.3,39
24/08/2023,3,5,5,5,31/24,9.3,49
25/08/2023,5,7,5,2,31/25,8.8,48
26/08/2023,10,24,9,7,30/25,6.7,59
27/08/2023,9,23,8,8,31/26,6.2,57
28/08/2023,3,5,0,1,30/25,6.2,52
29/08/2023,3,7,3,2,31/25,7.2,52
30/08/2023,4,8,4,1,31/26,10.3,63
31/08/2023,5,8,3,3,31/26,7.7,48
